Text,Predicted Class,Prediction Score,Highestest Toxicity Class,Toxicity Score
""" 
 : Yes, the rhyming one is my own rather silly variant.  You may henceforth refer to me as Late For Dinner  Lfd for short  pronounced """"elf'd"""" I would guess?  if that is the pseudonym you find easiest to remember.  -)    p.s.  As with the ping-technology, thanks-technology is not permitted for anons.  """"Encouraging"""" people to register a username, one can only presume, is the rationale for both limitations.  However, if you wish to join in solidarność with your fellow wikipedians who happen to be anons, there is currently a tech-wishlist-vote going on, until the 14th.  See the overview at meta:Community_Tech/Community_Wishlist_Survey_description and the proposals at meta:2015_Community_Wishlist_Survey#Proposals_to_vote_on (thanks-for-anons is in the notifications-subgroup).  Though personally, I would rather have the no-nested-ref-tags bugfix.  p.p.s.  Good, please don't let , I mean, User:Mandy, exhibit WP:OWN behavior... we must be strict with our artist-typEs, otherwise they will Expand their artist-Empire across the 'pEdia!  ;-)      Best,   """,obscene,4.4913424e-05,obscene,4.4913424e-05
gay go kill your self,toxic,0.99638355,threat,0.9673061
"==Please do not== 
 remove portal Indonesia from Category main space. 
 It has been put there for consistency, your removing it is of no specific assistance to anyone who might go to the category mainspace.",obscene,5.920939e-05,obscene,5.920939e-05
I'll be restoring the accurate cited information back to the sex club page soon...Wikinazis are pathetic,toxic,0.9989957,insult,0.005224446
"==  Encyclopaedia Britannica 1911 == 

  
 Either the 1911 text ought to be integrated into this article and modernised, or it ought to be deleted as there is a copy on wikisource.",obscene,3.437562e-05,obscene,3.437562e-05
""" 

 ==User 218== 

 Greetings, 

 Is this you? 

 218.109.115.35 

 Some of the edits I disagree with...for example, I think it is good to have a template in place even if there is only one living supercentenarian in a nation (like Australia) so that it will be easier to add back next time. Actually there is an Australian woman claimant to birth in 1896...check the WOP message archives and you'll see. 

 By the way, Dora McRae lives in Maine (the US), not the UK...and it's almost certain she is still alive, even if we have not seen a news report. """,obscene,4.824354e-05,obscene,4.824354e-05
""" 
 ::Thanks for the review. I am a little under the weather right now. Hopefully will be better and able to address this in a few days...   ·  · email) """,obscene,4.2700292e-05,obscene,4.2700292e-05
"== dont worry mate == 
 i know hes gay, its stupid they wont let you put it in the article",toxic,0.98903054,identity_hate,0.9090706
james bond es dun weth stoer-peopl,insult,0.000103371465,insult,0.000103371465
""" 

 ==Speedy deletion of KashIndustries== 
  A tag has been placed on KashIndustries, requesting that it be speedily deleted from Wikipedia. This has been done under section G1 of the criteria for speedy deletion, because the page appears to have no meaningful content or history, and the text is unsalvageably incoherent. If the page you created was a test, please use the sandbox for any other experiments you would like to do. Feel free to leave a message on my talk page if you have any questions about this.  

 If you think that this notice was placed here in error, you may contest the deletion by adding  to the top of the page (just below the existing speedy deletion or """"db"""" tag), coupled with adding a note on the talk page explaining your position, but be aware that once tagged for speedy deletion, if the article meets the criterion it may be deleted without delay. Please do not remove the speedy deletion tag yourself, but don't hesitate to add information to the article that would would render it more in conformance with Wikipedia's policies and guidelines. Lastly, please note that if the article does get deleted, you can contact one of these admins to request that a copy be emailed to you.    """,obscene,6.010287e-05,obscene,6.010287e-05
"Hey. I think the edit was neccesary, because it is an accurate description of the looks of this protein. 

 Are you telling me it doesnt look like a penis with the ballsack? In that case you're fucking stupid, and has to check this article: http://en.wikipedia.org/wiki/penis",toxic,0.9985057,obscene,0.9785524
This fat moron still can't figure out that adminns can't keep me off of wikipedia because I have a special fixture that evades bans and blocks. What a DUMBASS,toxic,0.9999912,obscene,0.9993049
*Cut down the 'volume' section (and shift that derivation to another article - or just get rid of it).,toxic,6.185572e-05,insult,1.5680038e-05
""" (UTC) 

 I see that """"someone"""" conveniently deleted all the talk in which  repeatedly called me a """"faggot"""".  Unless it was a """"server glitch"""" again.  Pity.  I was not going to call on the admins about it anyways.   4 July 2005 20:36""",toxic,0.7534784,obscene,0.45063412
""" 

 I've updated the article to change this to """"second novel"""" instead of """"third novel"""", based on this list in this article and in the Britannica entry.  """,obscene,7.339924e-05,obscene,7.339924e-05
'Bold text''''Bold text    Italic text  Fuck off you barstards''',toxic,0.99996114,obscene,0.9260593
"== First level warning (here you go) == 

  

 ok, ma friend. lemme tell you sumpin'. My block expired so i removed my unblock template as wikipedia policy says. Also, it is my right to delete any other comment on my talk page, except warnings isn't that so? you however: 
 *you restored the unblock template, a idiotic move i'd say (i am criticizing the edits, not the author in case you get any funny ideas) without a sane reason. 
 *you restored your idiotic comments about open proxy. You think this is a proxy, a stupid opinion of course, you go tell an admin not go trolling my page with crap. 
 *therefore, adding these nonsense to my page could and will be considered vandalism and i'd suggest you stop.",toxic,0.99809426,obscene,0.005094337
"== VPC == 

 Hello Wadester.  I'm new to the whole VPC thing but it looks like a really good concept to me.  Just one thing, perhaps somewhere in the instructions (which are a little clunky) we can encourage people who nominate images to review other images?  That way we would hopefully increase traffic and hence reviews?  Just an idea!  Cheers.",obscene,5.8136662e-05,obscene,5.8136662e-05
"== Lead sentence == 

 In this earlier version of the article, I can actually understand what a perfect number is simply by reading the first sentence. In later revisions, one is confronted by an equation instead of plain English. That might be fine if the article were written for mathematicians (or even just people who are comfortable with equations), but there are the  to be considered. The topic is far enough outside my comfort zone that I'm not going to be bold and change it myself, but I'm proposing that the lead sentence should not rely on symbols, variables, or numerals to comprise a complete sentence.",obscene,9.588867e-05,obscene,9.588867e-05
"""::It may yet turn into something independent, but the new articles I have looked at are acknowledged as being """"reprinted"""" from a Springer publication: Lovric, Miodrag (2011), International Encyclopedia of Statistical Science, Heidelberg: Springer Science. For others' info there is an online [announcement of StatProb. There are now about 11 """"topic"""" articles.    

 """,obscene,5.7812573e-05,obscene,5.7812573e-05
""" 
 ::::::::Til Eulegenspil says, """"the Antiochus interpretation is but one of many"""", and he is wrong. My study Bible says that it's """"doubtless"""" that the """"prince who is to come"""" is Antiochus. My Oxford Dictionary of the Christian Church says that it's the consensus of modern, critical scholars that Daniel was written in the 160s BC. TE wants the consensus of scholarly opinion to be treated as merely an opinion, and that's a violation of WP:NPOV. TE has a history of trying to value his own viewpoint with the consensus viewpoint (as if they're both merely """"viewpoints""""). Let me know if you need any special help to enforce WP policy on a page where TE is violating it.   """,obscene,6.0411512e-05,obscene,6.0411512e-05
""" 

 Official name of this event was """"Marš za bračnu jednakost"""". You can not change the original title of event. The most accurate translation into english is-March for marriage equality. Maybe this would be better text: 1.500 participants marched in support of same-sex marriage in """"March for marriage equality"""" that was organised on May 27, 2013 in Zagreb.   """,obscene,0.00012007853,obscene,0.00012007853
:::What would an unstandardised IQ test even look like? IQ is a standardisation of a raw score on a test - do you mean that Langan might be conflating a raw score with an IQ score?,insult,5.211045e-05,insult,5.211045e-05
pussy was his child hood dream he always loved the old wrinkly ones,obscene,0.99790895,obscene,0.99790895
""" 
 :::No - he is saying that there is no """"school of thought"""" but that so called minimalism is simply a number of critical biblical scholars who have no particular status as a group at all. Not just that they don't call themselves minimalists but that the label itself is meaningless slur used by albrightians to identify those they disagree with.·  
 """,obscene,5.6626086e-05,obscene,5.6626086e-05
"==Renewd Edit Summary Request== 
 I second the above request that you fill in the summary field for your edits.",obscene,6.229238e-05,obscene,6.229238e-05
""" 

 == No """"criticisms"""" section? == 

 I've long LOLed at Dogecoin bit thought it was time to educate myself a little. So I read this page and then notified my doctor that there's a good chance I might laugh myself to death. What a farce.""",insult,6.390143e-05,insult,6.390143e-05
"A tag has been placed on VOSHO, requesting that it be speedily deleted from Wikipedia. This has been done because the article seems to be about a person, group of people, band, club, company, or web content, but it does not indicate how or why the subject is notable: that is, why an article about that subject should be included in Wikipedia. Under the criteria for speedy deletion, articles that do not assert notability may be deleted at any time. Please see the guidelines for what is generally accepted as notable, and if you can indicate why the subject of this article is notable, you may contest the tagging. To do this, add  on the top of the page (below the existing db tag) and leave a note on the article's talk page explaining your position. Please do not remove the speedy deletion tag yourself, but don't hesitate to add information to the article that would confirm its subject's notability under the guidelines. 

 For guidelines on specific types of articles, you may want to check out our criteria for biographies, for web sites, for bands, or for companies. Feel free to leave a note on my talk page if you have any questions about this.",obscene,7.455858e-05,obscene,7.455858e-05
"Michael Jackson would be Age 51 if he was still living Today His Birthday is August 29,1958. R.I.P",obscene,6.7250265e-05,obscene,6.7250265e-05
":::*I had already put a note on the user's Talk page, but I added Bwilkins's template because it has appeal instructions. Thank whomever told you on IRC (yeah, yeah).",obscene,6.8177906e-05,obscene,6.8177906e-05
"Ever try Texas Monthly's website? I suspect this might be the article in question (one of the few 2001 articles that mention him and apparently the only one that is specifically about him); the website requires a subscription in order to read the articles, however.",obscene,5.9285445e-05,obscene,5.9285445e-05
""" 

 == Errors attributable to American punctuation—have you seen any? == 

  
 Lguipontes, on WT: MoS, you say alluded to American quotes leading to errors, and I am guessing that you refer to the U.S. practice of putting periods and commas inside the quotation marks, """"like this."""" 

 Have you ever seen American-style punctuation cause errors?  What were they?  I've heard a lot of people say """"U.S. punctuation causes confusion and mistakes!"""" but no one has ever given a real-world example or even a convincing hypothetical example.  Have you seen one? 

 A lot of people who don't like American punctuation argue that it causes errors, but none of them have ever given a real-world example. In all my years of writing and editing in U.S. English, I've never once seen someone make a mistake or misunderstand text because the period or comma was inside the quotation marks. I want to know if errors attributable to U.S. punctuation are Bigfoot (mythical) or the platypus (thought to be mythical but eventually proven to exist).   """,insult,3.287888e-05,insult,3.287888e-05
"== hi == 

 ur a fuckhead",toxic,0.99999917,obscene,0.99996483
Remove some idiot's mentions of snails and berets.,toxic,0.9999566,insult,0.29101127
: Thanks for the notice about this file. Could you suggest an alternate image of the not-yet-finished Remai Modern Art Gallery of Saskatchewan? I can't find any public domain images.,obscene,5.08167e-05,obscene,5.08167e-05
"== Photos of disgusting minced/ground meat presented as Döner Kebab. → NO. NO. NO! == 

 Döner is ONLY Döner, if made from meat *pieces*! Minced, or worse, even ground meat does NEVER belong in there! Ever! 
 In Germany it’s illegal to even call it “Döner Kebab” in those cases. (They then call it „Drehspieß nach Döner-Art“ [„Döner-style rotary spit“] or something like that.) 

 PLEASE don’t put photos of that fake shit in this article! There’s already enough people getting ripped off with that disgusting cheap fake shit! 

 —",toxic,0.9983588,obscene,0.68403965
"If you like to leave me a message. Just click on new section and leave me some, be sure to sign your posts at the end with this > ~~~~",obscene,2.4098588e-05,obscene,2.4098588e-05
"==Jewish sex abuse cases== 
 It would be of some value if anybody could write an article entitle Jewish sex abuse cases. There are already several articles on Wikipedia that mention the existence of taboo cases of pedophile rabbis, such as the Yeshiva Torah Temimah or The Awareness Center.",toxic,0.55593354,identity_hate,0.024904232
"== Adrian Hilton == 

 As a contributor to this article, you may be interested to know I have nominated it for deletion. Your comments are welcome at Wikipedia:Articles for deletion/Adrian Hilton.",obscene,8.540186e-05,obscene,8.540186e-05
"::Neo Poz, any further thoughts on this?  Are you opposed to a merge or do you not really care one way or the other?",insult,4.4544973e-05,insult,4.4544973e-05
":I suppose that if we talk about culture in Malibu and adjacent areas then we'd be safe. In the same vein we might mention other nearby cultural centers, like the Getty Museum.",obscene,5.237489e-05,obscene,5.237489e-05
":: Mr Ameriturd asshole, German police are not stormtroopers.",obscene,0.9998462,obscene,0.9998462
Fuck you asshole for vandalising my site you son of a bitch. I will come to your house and kick your ass.You son of a bitch!!,toxic,0.9999838,obscene,0.9984433
also certain farts may stink like septic tanks or nasty crap,toxic,0.37607497,insult,0.33941734
":I'm totally for it, but I think your input would be more valuable right now at WP:BK.  We can't even get a consensus on what a notable book is, let alone if a person is notable for writing one.",obscene,8.814635e-05,obscene,8.814635e-05
""":Obviously I am sympathetic to requests for userfication.  At the same time, the stated reasons for deletion at Wikipedia:Articles for deletion/Jesus Taught Me (2nd nomination) seem valid (note that there was little information about Bobby Joe Blythe beyond the one incident).  Do you think this event has enduring notability - is there some recent discussion or news about it?  I have to admit being dubious that an article can be made of this event. ''''  

 """,obscene,0.00017533665,obscene,0.00017533665
"""I apologize if this is in the wrong place. 
 Referring to uncle's phrase 
 妖魔鬼怪快哋走 
 if that is the correct order (ghost then monster), then he is saying it more like 
 'Yu Mo GUI GWAI Fai Di Za'  
 in jyutping the two would be """"gwai gwaai"""". 

  
 """,obscene,0.00021416467,obscene,0.00021416467
"fortunately, you will be dead before this happens.",threat,0.9954737,threat,0.9954737
"== fuck off == 

 hello pple",toxic,0.99999464,obscene,0.9997199
Shows you how shit wikipedia is! This cunt has been done for months now,obscene,0.9999106,obscene,0.9999106
""" 

 ::::::: Wikipedia also has freedom of speech, as it's based in the U.S.   """,insult,3.5293222e-05,insult,3.5293222e-05
"== Temeşvar == 

 Hello, I've seen that the Turkish name for Temeşvar is already handled out and it's correct )  
 Cheers!",obscene,6.0521517e-05,obscene,6.0521517e-05
""" 

 == What kind of popular software is supported by Android? == 

 Particularly, does Android support Mathematica?    

 == Additional information == 

 Would it be beneficial to add some or all of the information found here:  ?    

 == Malformed Citation == 

 A citation under the header """"Released (preinstalled)"""" was malformed, and was affecting page rendering. I replaced it with a """"citation needed"""" tag, including what information was in the citation in the reason parameter. Whoever added that citation should probably add it again (and remember to test their edits in the future).  —Preceding unsigned comment added by     

 : A vandal broke the reference while removing a piece of text. Usually pays to check the history if you come across problems. Fixed now. ~   

 :: Thanks for the tip. This is only the second time I've edited an article, and I was just unfamiliar with how citations work.  —Preceding unsigned comment added by     
 == Silly criticism == 

 Software installed by users must be written in Java. This provides end-users with less control over their phone's functionality. - I'm not sure if this is just very written very badly or if it is plain wrong. From the perspective of an end user, there is absolutely no concern of what language has been used to write some software. As far as I know, andoid will be the first mobile phone OS ever to allow users to replace any application, even the phone number dialer. So there is no point in stating that end-users have less control. 

 Even if you take it from the perspective of a developer, it's wrong. From most known systems before android it was a common truth that Java-programs have very limited access to the features of a device, and that you needed some form of native machine code to access all of the funtionality. Google states that they have create Java APIs that allow the developer access to all of the phones functionality, and that they themselves only use those APIs. I can see no real reason to disbelieve those statements. 

 Also, the criticism suggests that there is less control. Less than what / less then where? For most phones, you can not write native software at all, and even if you can (line iPhone and SymbianOS) this doesn't grant you access to all possible features.    
 :It's poorly worded, but there is some truth to it.  Not """"All"""" functionality can be reproduced in the exposed Java APIs.   Less control is available to java apps then is available to native apps running on Android.  Those who have root access to Android phone, perhaps because the purchased the Android dev phone, are able to write native applications and deploy them to their phone that can do things that java apps using the supported platform can't.    Contributors will continue to improve the java API's though, and Android's java platform provides for good sandboxing and permission control.     

 In my opinion, the entire criticism section needs to be looked at.  Often times a """"criticism"""" section on a Wikipedia page is added by someone who dislikes the product and presents every little problem with it as a significant criticism.  If nothing else, the section should be renamed """"Restrictions"""", as that is the header the exact same issues are listed under on the iPhone article.  I'm going to at least be bold and do that.   

 I agree that criticisms are often presented from a bias point of view without notability, but that must be addressed by removing controversial material without citation. I'm going to change the s",obscene,8.39476e-05,obscene,8.39476e-05
""" yeah the fact that some """"cencus"""" says no spoiler warning in ff articals is dumb. Not everyone knows that , and it can basicly ruion the game , because of how plot heavy it is.""",insult,0.0010266604,insult,0.0010266604
i am a geek who goes to ccs. I belong to the geek squad and have no life except 2 play this dumb old game called runescape. u should try it because it is very very very time i billion fun!!!!!11  oh yes i also have this freind named mike. he is a total loser but is funny. lol. anyway back 2 runescape. I am a lvl 86 i own u all noobs!!! ha!!!,toxic,0.6865774,insult,0.5700376
":::::  Do you think it is only topfree women who gets their photos taken?  There are lots of websites that capture photos of women just walking down the street, fully clothed in a bikini or shorts/shirt, and publish those photos online.  The problem here is NOT how the woman is dressed - the problem is the man holding the camera who drools at the mere sight of a woman (even one fully clothed).  Don't punish a woman for a cameraman's stupid actions.  -",toxic,0.49373233,insult,0.00040183982
"I'm sure that at the time, Dunstan would have been very much thought of as an expert at media management in comparison to previous Premiers. But is it WP:V and not WP:POV and WP:OPINION?",obscene,0.00010228463,obscene,0.00010228463
"::Please do not add nonsense to Wikipedia. It is considered vandalism. If you would like to experiment, use the sandbox. Thank you.",obscene,0.00010447013,obscene,0.00010447013
"== Proposed deletion == 

 I don't plan on personally editing this article anymore since a few have taken issue with it, and I will not personally remove the proposed deletion tag but I would like to note a few reasons why I think the call for deletion is premature.  The other two Webcomics listed as beginning in 2010, for instance,  (http://en.wikipedia.org/wiki/List_of_webcomics) have a combined 280 fans on their respective FB pages compared to the 3,300+ from at least 20 countries on http://www.facebook.com/itastesounddotcom and just a few minutes of clicking down the list for Webcomics beginning in other years reveals few that have gone to print, and less that have had the print version critically reviewed by the newspaper of a large city, with Baltimore being the largest city in Maryland and the largest independent city in the country http://en.wikipedia.org/wiki/Independent_city_(United_States).      
 I would also consider the Bleeding Cool interview national/international coverage as bleedingcool.com gets tens of thousands of hits daily from all over the world, is often referenced by other publications, such as The New York Observer recently and has many notable contributors, American and British. 
 I Taste Sound's distributor also sends books to Canada and England on occasion and for what it's worth, I don't have personal communications with any individuals in West Virginia or Chicago, since I noticed speculation on one of these threads that I contacted a friend or fan there to have them make edits to the article.",obscene,4.7452035e-05,obscene,4.7452035e-05
"==Prove it!== 
 Gotta prove it, you can't just say things without backing them up without facts, ya jerk!   )",toxic,0.99983823,insult,0.18549989
""" 
 ::::Just so """"irrelevance"""" is noted .  """,obscene,6.3261825e-05,obscene,6.3261825e-05
"::Yes my brother yes! Tell me CHRISTopedia, what DOES a Belgian look like? Is he tall, blonde hair, rugged cheeks, blue eyes? How much of a fucking nazi are you? I bet you want a white Europe you racist scumbag! I am going to be intensely monitoring your actions and will have you charged with RACE HATE crimes if you continue!",toxic,0.9997031,obscene,0.99585575
":It has only been nominated, that doesn't mean it will necessarily be deleted.  You can vote to keep it if you want.  Just click the link above.   - email)",obscene,0.000111147434,obscene,0.000111147434
"Hey ChrisBrown my name is Asia from Jacksonville 
 I realy like your sougs i have all of your CDs 
 But i like the way you move your body, listen my 
 SWEET 16 is coming up and i was thinking that you  
 can dance and sing for me",insult,7.1786635e-05,insult,7.1786635e-05
::::I'm afraid I do not know what you are talking about. Are you referring to that pathetic hippie Yeshua? How could that idiotic loser be the son of a nonexistent being?,toxic,0.99785244,obscene,0.994919
why arnt you replaying,toxic,0.023118673,insult,0.008444314
"Fuck off you nerd, go watch some gay porn",toxic,0.99999976,obscene,0.99989367
"::How about the Gallery then? See what others think first, before reverting. Cheers,",obscene,3.3464603e-05,obscene,3.3464603e-05
""" 

 :OK. I will do that. BTW, do you have any idea why this user, despite warnings and blocks, repeatedly removes wikilinks to World War IV? Antique Rose —  """,insult,2.848864e-05,insult,2.848864e-05
":Hi, coincidental my research materials are also packed away ready for a move of house too!! In fact we are going to be moving twice in the next few months, the second will take us to China for a while (if all goes to plan). Hope all goes well and look forward to the updates. Cheers",obscene,3.757179e-05,obscene,3.757179e-05
:::Since he specifies this at a regional and local level it doesn't exclude it.,insult,2.0935764e-05,insult,2.0935764e-05
":I second that damn. Read it twice and still can't quite get my head around it. Did you encounter the term and then come to look it up, or did you end up at the article somehow?",toxic,0.0035028441,obscene,0.0009810377
This article is full of bullshit.,toxic,0.9999856,obscene,0.9985663
"== Dorje Shugden POV Template == 

 The reason why I removed the template was because it's superfluous.  If you look at the template that's already there, 'this article or section has multiple issues', the first one is that the neutrality is disputed (tagged since April 2009).  This template therefore incorporates the neutrality issue and another POV template is unnecessary. Best wishes,",obscene,8.16931e-05,obscene,8.16931e-05
"== jeremy is a pimp == 

 pimp!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1",toxic,0.0025270614,insult,0.0009854703
"== you suck balls == 

 blow me",toxic,0.99999595,obscene,0.9999087
. This was wp:undue weight,obscene,6.174203e-05,obscene,6.174203e-05
""" 
 ::::RFCU for admin cases like this is a waste of time. They never accomplish anything, why waste so many people's time? """"Some"""" bad decisions? Are you kidding me? I have 26 of them posted. Wiki is totally fucked up. No wonder it's participation levels continue to nose dive. And Doc is not the only case out there, because people won't file a case knowing nothing will get done because the bullies rule wiki.   """,toxic,0.99909294,obscene,0.57081574
"""The other boxes will be deleted, but a mass deletion of all of them is not envisioned. 

 As an alternative to expressing a religious belief, you might consider creating a userbox that says something like """"I am interested in Zoroastrianism"""".  This would enable those with expertise or interests in the subject to advertise it in a relatively neutral manner.   

 """,obscene,6.0953433e-05,obscene,6.0953433e-05
"In order to speed things up, I have decided to withdraw my objections to the poll and have reverted the talk page to before the dispute began.   
 :thank you kindly.",obscene,8.596827e-05,obscene,8.596827e-05
"*Well, it was recreated under Jose Rafael Ducos Bello. Surely you know that. I've again nominated that for speedy deletion. I suggest you try going through WP:AFC.",obscene,4.403502e-05,obscene,4.403502e-05
